iid	model	creator	title	date	department
und:0g354f1857r	Etd	Bipasha Deb	Study of Sequence Dynamics Relationship with Binding Affinity of Pin1-WW Domain	2010-12-15	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:0g354f18610	Etd	Joungeun Lee	Anger in Thomas Aquinas and <i>Han</i>-full Anger	2015-07-29	University of Notre Dame::College of Arts and Letters::Theology
und:0k225b01d6n	Etd	Allison Olivia Evans	Between Something and Nothing: Phenomenological Light Studies	2015-05-14	University of Notre Dame::College of Arts and Letters::Art, Art History, and Design
und:0k225b01d8b	Etd	Lisa Marie DeBeer-Schmitt	Aspects of Vortex Physics in CeCoIn5	2008-07-16	University of Notre Dame::College of Science::Physics
und:0k225b01f3x	Etd	Jody Samantha Nicholson	Precursors to Paternal Identity: Antecedents and Consequences of Metaparenting	2010-12-22	University of Notre Dame::College of Arts and Letters::Psychology
und:0k225b01f5m	Etd	Pauline Bourbon	Development of potential Niemann-Pick type C therapeutics and the synthesis of caged nicotinamide and cholesterol to gain a better understanding of cholesterol biosynthesis and trafficking	2012-09-12	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:0k225b01f48	Etd	Allison Ann Penner Regier	A Flexible Comparative Genomics Framework for Integrating Heterogeneous Sequence Data	2011-08-09	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:0k225b01f6z	Etd	Jason Kistler Keller	Controls of Microbial Carbon Cycling in Northern Peatlands	2006-10-05	University of Notre Dame::College of Engineering::Biological Sciences
und:0k225b01f79	Etd	Brian P Dunn	Overhead in Communication Systems as the Cost of Constraints	2010-12-07	University of Notre Dame::College of Engineering::Electrical Engineering
und:0k225b01f90	Etd	Colleen Therese Cole	Differential Targeting of Cytoplasmic Dynein During Mitosis by Site Specific Phosphorylation	2011-03-14	University of Notre Dame::College of Science::Biological Sciences
und:0k225b01g2w	Etd	Caroline L. Wilky	Chronicling Creation: Nature and History Writing, c. 1150–1240		University of Notre Dame::College of Arts and Letters::History
und:0k225b01h9m	Etd	Adam R. Hickman	The Transition from Rotating Stall to Surge in an Axial Compressor		University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:0p096684p35	Etd	Brian Bucher	On the Production of the Light Heavy-Elements (A~90)	2014-02-13	University of Notre Dame::College of Science::Physics
und:0p096684p4h	Etd	Patrick Joseph Donoghue	Computational Modeling of Metal Catalyzed Reactions for the Prediction and Improvement of Enantioselectivity	2008-04-03	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:0p096684p5v	Etd	Mary Catherine Wagner Fuhs	A Latent Variable Approach to Examining Executive Functioning Development and Emerging Mathematics Skills in Preschoolers at Head Start	2011-05-03	University of Notre Dame::College of Arts and Letters::Psychology
und:0p096684p66	Etd	Clinton Waterman	I Blew Up A Regional Airport	2011-09-27	University of Notre Dame::College of Arts and Letters::English
und:0p096684p8w	Etd	Jeffrey Howard Green	Work for a New Theory of Modality	2008-07-30	University of Notre Dame::College of Arts and Letters::Philosophy
und:0p096684q0f	Etd	Gwendolyn Anne Oxenham	Essence Game	2011-01-04	University of Notre Dame::College of Arts and Letters::English
und:0p096684q3g	Etd	Jay Peter Giblin	Optical Properties of Single Cadmium Selenide Nanowires: Breaking Through the Limitations of Ensemble Measurements	2011-07-20	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:0p096684q9j	Etd	Christine Marie Steeger	Predictors of Maternal Psychological Control: Adolescent Behavioral Antecedents and the Mediating Role of Mother-Adolescent Conflict	2010-12-20	University of Notre Dame::College of Arts and Letters::Psychology
und:0r967367z8x	Etd	Deqiang Chen	Noncoherent Communication Theory for Cooperative Diversity in Wireless Networks	2004-05-21	University of Notre Dame::College of Engineering::Electrical Engineering
und:0r96736800r	Etd	Margaret E. Uttke	New Directions in Editing Renaissance Drama: Reading, Performance, and the Digital Age	2011-01-06	University of Notre Dame::College of Arts and Letters::English
und:0r96736805g	Etd	Brent Spanjersberg Mitchell	A Nonlinear Constitutive Model to Predict the Stress Strain Behavior of Small Intestinal Submucosa	2006-07-27	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:0r96736808h	Etd	Brian D. Fisher	Surface-Functionalized Fish Bone to Stabilize Arsenic and Tungsten Removal from Groundwater	2009-12-15	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:0r96736806t	Etd	Paul Carl Stey	The Moral Faculty in Adolescents: Investigating Age Differences in the Application and Justification of Three Principles of Harm	2011-08-03	University of Notre Dame::College of Arts and Letters::Psychology
und:0r96736809v	Etd	Christopher Jason Patrick	The causes and consequences of between-stream variation in aquatic macroinvertebrate communities in stream networks	2011-12-06	University of Notre Dame::College of Engineering::Biological Sciences
und:0r96736814f	Etd	Haipeng Cai	Cost-Effective Dependency Analysis for Reliable Software Evolution		University of Notre Dame::College of Engineering::Computer Science and Engineering
und:0r967368222	Etd	William A. O'Brien	Toward Direct Bandgap Germanium Optoelectronics		University of Notre Dame::College of Engineering::Electrical Engineering
und:0v838051762	Etd	Daniel Anthony Duffin	Feed-Forward Adaptive-Optic Correction of a Weakly-Compressible High-Subsonic Shear Layer	2010-12-07	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:0v83805177d	Etd	Sarah Elizabeth Morice Brubaker	The Place of the Spirit: Toward a Trinitarian Theology of Location	2011-06-23	University of Notre Dame::College of Arts and Letters::Theology
und:0v83805178r	Etd	Joseph Small	Imagining Whiteness in Art	2011-09-26	University of Notre Dame::College of Arts and Letters::Art, Art History, and Design
und:0v838051809	Etd	Michael John Donovan	Evaluation of the Host-Parasite Interphase: Understanding the Impact of Vector-Host Interaction on Plasmodium Development and Innate Immunity in Parasitic Diseases	2010-12-21	University of Notre Dame::College of Engineering::Biological Sciences
und:0v838051820	Etd	Timothy M Dale	Toward a Post-Subjectivist Politics?: Reflections on Benhabib, Young, and Mouffe	2011-01-03	University of Notre Dame::College of Arts and Letters::Political Science
und:0v838051851	Etd	Chad Patton Kiewiet de Jonge	Political Learning and Democratic Commitment in New Democracies	2013-07-25	University of Notre Dame::College of Arts and Letters::Political Science
und:0v83805191z	Etd	Charles Andr  Laurin	Variable Selection Through Regularized Regression: Intervals, Interactions, and Informal Inference	2012-12-20	University of Notre Dame::College of Arts and Letters::Psychology
und:0v838051971	Etd	Patrick T. Kelly	The Influence of Resource Quality and Lake Physics on Zooplankton		University of Notre Dame::College of Engineering::Biological Sciences
und:0v838051b2m	Etd	Victoria L Smith	Characterizing Exosome Biogenesis and Function in Stimulating the Immune Response during a <em>Mycobacterium</em> Infection		University of Notre Dame::College of Engineering::Biological Sciences
und:0v838051b60	Etd	Sneha Polisetti Couvillion	Raman Spectroscopy Based Toolkit for Mapping Bacterial Social Interactions Relevant to Human and Plant Health		University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:0v838051c2x	Etd	Nicholas Giovanni De Lucca	Studies of the Pressure Field and Related Beam Jitter for Hemisphere-on-Cylinder Turrets		University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:0v838051f47	Etd	Jessica M. Blaxton	Interindividual Differences and Intraindividual Change in the Intraindividual Relationship between Stress and Negative Affect: Age, Resilience, and Stress Influences		University of Notre Dame::College of Arts and Letters::Psychology
und:0z708w34j2w	Etd	Jusong Wang	Non-Selective Oxidation of Aluminum Gallium Arsenide Heterostructures for High Performance Curved Waveguide Semiconductor Lasers	2010-12-09	University of Notre Dame::College of Engineering::Electrical Engineering
und:0z708w34j4k	Etd	Kyle E. Jones	Percolation Mechanism in Orthopedic Implants	2010-10-08	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:0z708w34j7m	Etd	Kamthorn Chailuek	An Extension of Bergman Spaces and their Toeplitz Operators	2008-07-29	University of Notre Dame::College of Science::Mathematics
und:0z708w34j8z	Etd	Shannon Drysdale Walsh	Engendering State Institutions: State Response to Violence Against Women in Latin America	2011-08-09	University of Notre Dame::College of Arts and Letters::Political Science
und:0z708w34j99	Etd	Ryan Thomas Haws	Computation of Nitrile Vibrations as a Probe of the Structure and Dynamics of Condensed Matter Systems	2012-10-02	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:0z708w34k1v	Etd	Pius Ojo Adelani	Syntheses, Structure Elucidation, and Properties of Novel Actinide Diphosphonates and Carboxyphosphonates	2011-12-07	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:0z708w34k0h	Etd	Amy Jonason	The Elusive, Inclusive "We": Inclusion and Contradiction in a Prefigurative Social Movement Group	2011-11-29	University of Notre Dame::College of Arts and Letters::Sociology
und:0z708w34k4w	Etd	Trunojoyo Anggara	First-Principles Study of NO Oxidation on Cu-exchanged SSZ-13 Zeolite Catalysts	2015-05-28	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:0z708w34k6k	Etd	Ethan Fridmanski	Online Communities: A Case Study of Religion and Politics		University of Notre Dame::College of Arts and Letters::Sociology
und:0z708w34k7x	Etd	Justus T. Ghormley	Inspired Scribes: The Formation of the Book of Jeremiah and the Vocation of Ancient Jewish Scribal Scholars		University of Notre Dame::College of Arts and Letters::Theology
und:0z708w34n04	Etd	Nathan Kellams	Search for Lepton Flavor Violating Decays of the Higgs Boson in the Mu Tau Hadronic Channel		University of Notre Dame::College of Science::Physics
und:12579s17s7p	Etd	Ted Alan Bryant	Symbolic Control of Visual Attention: Indirect Cues	2005-02-24	University of Notre Dame::College of Arts and Letters::Psychology
und:12579s17s9c	Etd	Andrew Johnson	Computational Studies of Natural and Nonnatural Nucleic Acids: Formation and Repair of Thymine Dimers and Structure/Dynamics of GNA	2011-06-23	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:12579s17s81	Etd	Bradley Charles Gregory	"Like an Everlasting Signet Ring": Generosity in the Book of Sirach	2010-12-07	University of Notre Dame::College of Arts and Letters::Theology
und:12579s17t0k	Etd	Jacqueline G Garrison	The Relative Importance of Stress State, Microarchitecture, and Damage Burden in the Failure Behavior of Trabecular Bone	2011-09-26	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:12579s17t28	Etd	Christopher Stockdon Seibert	High-Index-Contrast AlGaAs Waveguide Scattering Loss Reduction via Oxidation Smoothing of Sidewall Roughness	2010-12-14	University of Notre Dame::College of Engineering::Electrical Engineering
und:12579s17t4z	Etd	Michael Anthony May	Experimental Evaluation of Unbonded Post-Tensioned Hybrid Coupled Wall Subassembalges	2011-01-03	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:12579s17t70	Etd	Aaron J. W. Dingler	Nanomagnet Logic: From Devices to Architectures	2013-07-25	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:12579s17v3x	Etd	Loren K. Higbee	The Poetics of Fragmentation: Shared Modernity in Petrarch, Eliot, and Pound	2014-01-13	University of Notre Dame::College of Arts and Letters::Literature
und:12579s17w99	Etd	Semyon Khokhlov	Marcel Duchamp, Gertrude Stein, and the Modernist Loss of Autonomy		University of Notre Dame::College of Arts and Letters::English
und:1544bp0134s	Etd	Peter J. Baker	The Politics of Taxation and State Building in Ukraine, 882-2004	2010-12-09	University of Notre Dame::College of Arts and Letters::Political Science
und:1544bp0136g	Etd	Sundaram Vanka	Signal Superposition Strategies in Wireless Networks: Theory and Experiments	2012-05-21	University of Notre Dame::College of Engineering::Electrical Engineering
und:1544bp0137t	Etd	Denise Ann Bruesewitz	The Effects of Invasive Zebra Mussels (Dreissena polymorpha) on Nitrogen Cycling in Freshwater Ecosystems of the Midwestern United States	2008-07-07	University of Notre Dame::College of Engineering::Biological Sciences
und:1544bp0139h	Etd	Teresa Huffman Traver	"I have not a home:" Catholic Conversion and English Identity	2008-09-05	University of Notre Dame::College of Arts and Letters::English
und:1544bp0140q	Etd	Michael Stephen Crocker	Design, Fault Studies, and Performance Analysis for Nanomagnet Logic PLAS and Other Nanomagnet Logic Architectures	2011-07-27	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:1544bp0142d	Etd	Todd Alexander Major	Acoustic Vibrations of Single Suspended Gold Nanostructures	2014-11-17	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:1544bp01412	Etd	Michael Tate Cochran	Two-Dimensional Viscous Compaction in Compressible Granular Materials	2006-09-15	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:1544bp0143r	Etd	Melinda D. Grimsley-Smith	Politics, Professionalization, and Poverty: Lunatic Asylums for the Poor in Ireland, 1817-1920	2011-12-07	University of Notre Dame::College of Arts and Letters::History
und:1544bp0145f	Etd	Katia Pansa	Psychoanalytic Studies in the "Tarry Easty" of James Joyce	2011-01-11	University of Notre Dame::College of Arts and Letters::Romance Languages and Literatures
und:1831cj84c2c	Etd	Ivan Murgu	Studies Of Xanthone Rotaxanes and Squaraine Rotaxane Endoperoxides	2011-09-26	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:1831cj84d8r	Etd	Max Deardorff	A Tale of Two Granadas: Tridentine Reform, Rebellion, and the Formulation of Christian Citizenship in Southern Spain and the Andes, 1563-1614		University of Notre Dame::College of Arts and Letters::History
und:1831cj84f09	Etd	Tua Agustinus Tamba	Forecasting Regime Shifts in Nonlinear Dynamical Processes		University of Notre Dame::College of Engineering::Electrical Engineering
und:1c18df67n2q	Etd	David Robert Baker	On the Advancement of Quantum Dot Solar Cell Performance through Enhanced Charge Carrier Dynamics	2011-04-18	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:1c18df67n1c	Etd	Charles Christopher Camosy	Treatment of Imperiled Newborns: The Social Quality of Life Model in Light of Catholic Social Teaching	2009-04-29	University of Notre Dame::College of Arts and Letters::Theology
und:1c18df67p52	Etd	Sean Patrick Lynch	Search for Standard Model and Neutral MSSM Higgs Bosons Decaying to Pairs of Tau Leptons At 7 TeV	2012-12-18	University of Notre Dame::College of Science::Physics
und:1c18df67r2n	Etd	Timur Kupaev	Multi-Scale Simulation Study of the Effect of Fiber Alignment and Bending and Stress–Strain Relation on Fibrin Networks		University of Notre Dame::College of Science::Applied and Computational Mathematics and Statistics
und:1g05fb50x1x	Etd	Antonios Kontos	Direct Capture in Nuclear Astrophysics: The Cases of <sup>17</sup>O(&rho;, &gamma;)<sup>18</sup>F and <sup>4</sup>He(<sup>3</sup>He, &gamma;)<sup>7</sup>Be	2012-02-23	University of Notre Dame::College of Science::Physics
und:1g05fb50x4z	Etd	Olena Korovnichenko	Generalizations of Three-Term Relations in Solvable Models of Mathematical Physics	2011-05-06	University of Notre Dame::College of Science::Mathematics
und:1g05fb50x6n	Etd	Xiuquan Sun	Algorithms for Modeling the Dynamics and Phase Transitions of Lipid Bilayers	2010-12-13	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:1g05fb50x8b	Etd	Shaun Horsman Yurcaba	Timeless Architecture:  A New Courthouse and Town Square, Embracing Tradition for the Good of the City	2006-05-15	
und:1831cj84b9g	Etd	Belinda Sue McSwain	Molecular Investigation of Aerobic Granule Sludge Formation	2005-02-23	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:1831cj84c42	Etd	Brian Matthew Babie	An Experimental and Analytical Study of the Stability of Counter-Rotating Vortex Pairs with Applications for Aircraft Wake Turbulence Control	2010-12-13	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:1831cj84c9s	Etd	Stephen Reid Case	Making Stars Physical: John Herschel's Stellar Astronomy, 1816-71	2014-07-22	University of Notre Dame::Centers and Institutes::John J. Reilly Center for Science, Technology and Values
und:1831cj84c6r	Etd	Pedro Berges	Rebound, Compliance, and Configuration in the Modeling and Analysis of Discrete Impacts in Legged Locomotion	2010-10-01	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:1831cj84k0j	Etd	Xin Liu	Evaluation of Therapeutics in Three Dimensional Cell Culture Systems Using Mass Spectrometry		University of Notre Dame::College of Science::Chemistry and Biochemistry
und:1c18df67n63	Etd	Derek Andrew Webb	Paving the Rights Infrastructure: Civic Education in the Presidencies of Thomas Jefferson, Abraham Lincoln, and Franklin Roosevelt	2009-01-09	University of Notre Dame::College of Arts and Letters::Political Science
und:1c18df67n8s	Etd	Yuan Liu	WENO Computations and Pattern Stability	2012-05-24	University of Notre Dame::College of Science::Applied and Computational Mathematics and Statistics
und:1c18df67n94	Etd	Daniele Puccinelli	Arbutus: Reliable and Energy-Efficient Data Collection in Large-Scale Low-Power Wireless Sensor Networks	2008-07-01	University of Notre Dame::College of Engineering::Electrical Engineering
und:1c18df67p1p	Etd	Leilani Arthurs	Towards a more quantitative understanding of the complex interactions between natural organic matter, heavy metals, and goethite	2008-07-29	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:1c18df67p21	Etd	Anne Catherine McGowan	In Search of the Spirit: The Epiclesis in Early Eucharistic Praying and Contemporary Western Liturgical Reforms	2011-07-27	University of Notre Dame::College of Arts and Letters::Theology
und:1c18df67p3c	Etd	Jesse David Davenport	A Numerical Approach to Modeling the Geochemical Evolution of the Lunar Magma Ocean	2013-09-19	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:1c18df67p4q	Etd	Michael Yan-Kiat Lau	The Psi Phenomena: A Bayesian Approach to the Ganzfeld Procedure	2004-12-02	University of Notre Dame::College of Arts and Letters::Psychology
und:1c18df67p7r	Etd	Jaqunda N. Patton	Hydrogel Based Oxygen Carriers	2006-06-06	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:1c18df67q0n	Etd	Christina Marie Arisio	Self-assembled Monolayers on III-V Semiconductor and Silicon Surfaces		University of Notre Dame::College of Science::Chemistry and Biochemistry
