id	creator	title	model
und:02870v8512d	Muhammad Owais Iqbal	Coherent Structure in a Turbulent Axisymmetric Jet via a Vector Implementation of the Proper Orthogonal Decomposition	Etd
und:02870v85143	Elizabeth A. McNicholas	Human Flourishing in the American City: A New Plan for Detroit's Underserved Population	Etd
und:02870v8515f	Michael Paul Davis	DavisM052008.pdf	GenericFile
und:02870v8516s	Carolyn Ann Dehner	DehnerCA062011D.pdf	GenericFile
und:02870v85174	Ralf Matthias Bendlin	Intercell Interference Coordination Without Base Station Cooperation for Wireless Cellular Networks	Etd
und:02870v8518g	Shannon Noelle Gayk	"Sensible Signes": Mediating Images in Late Medieval Literature	Etd
und:02870v8519t	Joel Michael Dodson	"Some newer name than Christian": Confessionalization in Early Modern English Literature, Spenser to Donne	Etd
und:02870v85201	Myriam Patricia Roy	Structure-Activity Relationship of the Myriaporones and Biosynthetic Study of Tedanolide	Etd
und:02870v8521c	Ryan Dee Ross	CHAPTER 1:	GenericFile
und:02870v8522q	Jeremy Thurston Newkirk	NewkirkJ.pdf	GenericFile
und:02870v85232	Susan M Skube	The Regulation of CLIP-170-Microtubule Binding	Etd
und:02870v8524d	Ryan Christopher Kennedy	<May be encrypted>	GenericFile
und:02870v8525r	Julieann Ulin	Introduction	GenericFile
und:02870v85263	Kelly A. Warmuth	Parent–Child Attachment Stability and Trajectories of Externalizing Behavior	Etd
und:02870v8528s	Diane Gram	om301028c 1..9	GenericFile
und:02870v85294	Tanya Salyers	Network Based Modeling in Social Sciences and Biology	Etd
und:02870v8533c		v2csrlgcon.zip	GenericFile
und:02870v8534q	Kevin B Phaup	Rebuilding Nepal: Applying Design Thinking to Sheltering in the Wake of Natural Disasters	Etd
und:02870v8537r		US7960180.pdf	GenericFile
und:02870v85410	dfulmer	FulmerD112015T.pdf	GenericFile
und:02870v8539f			Person
und:02870v8542b		Noyola_0015a.jpg	GenericFile
und:02870v8543p		JUNG/PDF/Jung.pdf	GenericFile
und:02870v8546q		zbw.xml	GenericFile
und:02870v85472	Wood, Paul, 1872-1891.	Paul Wood Papers	FindingAid
und:02870v8550z		hav.xml	GenericFile
und:02870v8548d		phi.xml	GenericFile
und:02870v8549r	Oblates of Providence.	Oblates of Providence Rule book	FindingAid
und:02870v85519	Ford, Austin E., 1840-1933.	Austin E. Ford Papers	FindingAid
und:02870v8555p	David Sikkink	The Politics of the Latino Church	Document
und:02870v8552n		bvp.xml	GenericFile
und:02870v85530	Beichner, Paul E., 1912-	Paul E. Beichner Papers	FindingAid
und:02870v85639	Spiegelman, Art (American illustrator and cartoonist, 1948-)	World Trade Center	Image
und:02870v8569c	Conaghan, Paul R.	Paul R. Conaghan Scrapbook	FindingAid
und:02870v85k42		image_3643.xml	GenericFile
und:02870v85k5d		Belgium-Brussells-Bourse.tif	GenericFile
und:02870v85k73		Egypt-Karnak-temple-Amon-Colonnade.jpg	GenericFile
und:02870v85k8f		image_2729.xml	GenericFile
und:02870v85k9s		Germany-Frankfurt-city-hall.tif	GenericFile
und:02870v85m00		France-Paris-fountain-S-Michael.tif	GenericFile
und:02870v85m2p		France-Fontainebleau-castle-int.jpg	GenericFile
und:02870v85m31		image_2398.xml	GenericFile
und:02870v85m4c		France-Caen-church-S-Pierre-int.tif	GenericFile
und:02870v85m62		France-Grand-Chartreuse-refectory.jpg	GenericFile
und:02870v85m7d		image_2268.xml	GenericFile
und:02870v85m8r		France-Paris-Cluny-museum-baths-Roman.tif	GenericFile
und:02870v85n09		France-Beaucaire-castle.jpg	GenericFile
und:02870v85n20		Greece-Athens-Lysicrates-Monument.jpg	GenericFile
und:02870v85n1n		image_2552.xml	GenericFile
und:02870v85n4p		Palestine-Bethlehem-church-Nativity-entrance.jpg	GenericFile
und:02870v85n6c		Italy-Rome-forum-Trajan2.jpg	GenericFile
und:02870v85n7q		image_1475.xml	GenericFile
und:02870v85n82		Italy-Padua-church-S-Anthony-int6.tif	GenericFile
und:02870v85p0m		Italy-Venice-church-S-Mary-dei-Miracoli.jpg	GenericFile
und:02870v85p1z		image_1043.xml	GenericFile
und:02870v85p29		Italy-Syracuse-church-S-John.tif	GenericFile
und:02870v85p40		Peru-Puno-cathedral.jpg	GenericFile
und:02870v85p5b		image_3927.xml	GenericFile
und:02870v85p8c		Switzerland-Basel-tower-S-John.jpg	GenericFile
und:02870v85p9q		image_3152.xml	GenericFile
und:02870v85q0x		Spain-Cadiz-church-S-Catalina.tif	GenericFile
und:05741r6883h	Randall White	Mensan and Sisk 2007a	GenericFile
und:05741r6886j	David Dressing	Technical information_El Salvador_1995.pdf	GenericFile
und:05741r6887w		Articles	ProfileSection
und:05741r68887	Dori C. Woods	Microsoft Word - DW_Diss_2-13-07.dot	GenericFile
und:05741r68914	Sheng Li	cluster-scaling-edap	GenericFile
und:05741r6890s	Peter Svoisky	eg_header.dvi	GenericFile
und:05741r6893t	Muhammad Owais Iqbal	first_draft_Final.dvi	GenericFile
und:05741r6895h	Elizabeth A. McNicholas	Diss. Template	GenericFile
und:05741r68945	Katherine Erin Cunningham	With God on Their Side	Etd
und:05741r6896v	Delores (Lora) Anne Smitham	Evaluating an Intuitive Eating Program for Binge Eating Disorder: A Benchmarking Study	Etd
und:05741r68976	Theresa O'Byrne	Dublin&#39;s Hoccleve: James Yonge, Scribe, Author, and Bureaucrat, and the Literary World of Late Medieval Dublin	Etd
und:05741r6898j	Ralf Matthias Bendlin	template.dvi	GenericFile
und:05741r6899w	Margaret Nicola Abruzzo	Polemical Pain: Slavery, Suffering, and Sympathy in Eighteenth- and Nineteenth-Century Moral Debate	Etd
und:05741r68b03	Joel Michael Dodson	Microsoft Word - Dissertation Draft - Final - Dodson (20110722).docx	GenericFile
und:05741r68b1f	Myriam Patricia Roy	Microsoft Word - unzthese.doc	GenericFile
und:05741r68b2s	Andrea M Dunn	Air and LNAPL Entrapment in the Partially Saturated Fringe: Laboratory and Numerical Investigations	Etd
und:05741r68b34	Xiangning Li	Radiative Heat Transfer through Fibrous Materials	Etd
und:05741r68b4g	Susan  M Skube	CLIP-170:  INTERACTIONS WITH EB1, p150 AND THE ROLE OF PHOSPHORYLATION IN CLIP-170-MICROTUBULE INTERACTIONS	GenericFile
und:05741r68b65	LaReine-Marie Veronica Mosely	Salvation Despite the Death of Jesus?  The Cross in the Later Soteriology of Edward Schillebeeckx:  African American Christian Female Perspectives	Etd
und:05741r68b96	Seth Brown	Molybdenum(VI) Complexes of a 2,2 '-Biphenyl-bridged Bis(amidophenoxide): Competition between Metal-Ligand and Metal-Amidophenoxide pi Bonding	Article
und:05741r68c0d	Shari Hill Sweet	SalyersT042012D.pdf	GenericFile
und:05741r68c4s		v2csrlgrep.zip	GenericFile
und:05741r68d0q		Karen Deak	Profile
und:05741r68d2d	hagaman	HagamanSB072015D.pdf	GenericFile
und:05741r68d5f	rwoodbu1	WoodburyRD112016T.pdf	GenericFile
und:05741r68d43		JUNG/JPEG/2015_Fall_EALJ_10151_20251_Jung_000001.jpg	GenericFile
und:05741r68d3r		Noyola_0016a.jpg	GenericFile
und:05741r68d74	Gillmore, Quincy Adams, 1825-1888.	Quincy Adams Gillmore Manuscript	FindingAid
und:05741r68f01		obl.xml	GenericFile
und:05741r68d8g		wod.xml	GenericFile
und:05741r68d9t	President, J. Hugh O'Donnell	President 1940-1946: J. Hugh O'Donnell	FindingAid
und:05741r68f1c	Walter, Henry A.	Henry A. Walter Papers	FindingAid
und:05741r68f2q		frd.xml	GenericFile
und:05741r68f32	Boyer, Norma	Norma Boyer's Morris Inn Scrapbooks	FindingAid
und:05741r68f63		thepoliticsofthelatinochurch_final.pdf	GenericFile
und:05741r68g4q		asl-20400.jpg	GenericFile
und:05741r68f4d		bei.xml	GenericFile
und:05741r68v5g		Algeria-Djemila-gateway.tif	GenericFile
und:05741r68h0n		cgn.xml	GenericFile
und:05741r68v75		Belgium-Mons-cathedral-S-Wandru.jpg	GenericFile
und:05741r68v9v		Egypt-Abydos-temple-Seti-2nd-hypostyle.tif	GenericFile
und:05741r68v8h		image_2777.xml	GenericFile
und:05741r68w2r		France-Versailles-hamlet-Queens-house.jpg	GenericFile
und:05741r68w33		image_2280.xml	GenericFile
und:05741r68w4f		France-Avignon-Calvary-of-Notre-Dame-des-Doms.tif	GenericFile
und:05741r68w64		France-Anet-Sepulchral-chapel.jpg	GenericFile
und:05741r68w7g		image_2521.xml	GenericFile
und:05741r68w8t		France-Poitiers-cathedral-S-Pierre.tif	GenericFile
und:05741r68x0c		France-Usse-castle2.jpg	GenericFile
und:05741r68x1q		image_2476.xml	GenericFile
und:05741r68x22		France-Dives-church-Notre-Dame.tif	GenericFile
und:05741r68x3d		image_1716.xml	GenericFile
und:05741r68x4r		India-Gwalior-palace-Man-Sing3.jpg	GenericFile
und:05741r68x53		image_3826.xml	GenericFile
und:05741r68x6f		Italy-Rome-fountain-Barccacia.jpg	GenericFile
und:05741r68x7s		image_1109.xml	GenericFile
und:05741r68x84		Italy-Florence-cathedral2.tif	GenericFile
und:05741r68z0p		Italy-Pistoja-church-S_Andre-int.jpg	GenericFile
und:05741r68z11		image_1689.xml	GenericFile
und:05741r68z2c		Italy-Rome-church-S-Bartholomew.tif	GenericFile
und:05741r68z42		Italy-Ferrara-cathedral-int.jpg	GenericFile
und:05741r68z6r		Russia-Yaroslavl-church-S-John-Chrysostem2.tif	GenericFile
und:05741r68z5d		image_3866.xml	GenericFile
und:05741r68z9s		image_3533.xml	GenericFile
und:05741r69008		Spain-Madrid-Escorial.tif	GenericFile
und:05741r6902z		Turkey-Cybele.jpg	GenericFile
und:05741r6909c	Saurabh Nagrecha	Operationalizing Classification in Applied Machine Learning	Etd
und:05741r6911x		Certifying reality of projections	GenericFile
und:08612n51j4d	Romain Mensan	5. Poursuite de la fouille de l’abri Castanet (Secteur nord, coupe Peyrony) : 2007 et 2008	Article
und:08612n51j7f	David Dressing	El Salvador 1999	Dataset
und:08612n51j8s			Person
und:08612n51j94	Georgiana Young Kramer	On the Petrogenesis and Distribution of the High-Alumina Mare Basalts: An Integrated Approach Using Geochemical and Remote Sensing Data	Etd
und:08612n51k1p	Joel William Ottman	Masculine Glory	Etd
und:08612n51k21	Robert Jess Lavolette	The Perils of Escapism	Etd
und:08612n51k52	Katherine Erin Cunningham	Microsoft Word - CunninghamKE042008.doc	GenericFile
und:08612n51k6d	Matthew T. McNicholas	The Relevance and Transcendence of Ornament: A New Public High School for the South Side of Chicago	Etd
und:08612n51k4q	Xiaowen Liu	Performance Analysis and Topology Control of Large Wireless Networks With Fading	Etd
und:08612n51k7r	Delores (Lora) Anne Smitham	Examining the Effectiveness of Intuitive Eating for Binge Eating Disorder	GenericFile
und:08612n51k83	Theresa O'Byrne	OByrneT062012D.pdf	GenericFile
und:08612n51m0n	Margaret Nicola Abruzzo	POLEMICAL PAIN: SLAVERY, SUFFERING AND SYMPATHY IN EIGHTEENTH-	GenericFile
und:08612n51k9f	Anne Elizabeth Baker	The Electoral Causes of Party Polarization in Congress	Etd
und:08612n51m10	Ryan Russell Hemme	Population Dynamics of the Yellow Fever Mosquito, Aedes aegypti	Etd
und:08612n51m2b	Rendy Kartika	Programs Towards Tetrahydropyran Containing Small Macrolides of Cyanobacterial Origins:  Synthetic Methodology Development and Total Synthesis	Etd
und:08612n51m3p	Andrea M Dunn	Microsoft Word - Andrea Dunn dissertation 05.doc	GenericFile
und:08612n51m41	Xiangning Li	Dissdraft1.dvi	GenericFile
und:08612n51m5c	Rebecca Anne Morrissey	Change in Democratic Parenting during the Transition to Adolescence: The Role of Young Adolescents' Noncompliance and Mothers' Perceived Influence	Etd
und:08612n51m72	LaReine-Marie Veronica Mosely	Salvation Despite the Death of Jesus? The Cross in the Later Soteriology of Edward Schillebeeckx: African American Christian Female Perspectives	GenericFile
und:08612n51n0z	Diane Gram	ic201736h 1..12	GenericFile
und:08612n51m9r	Michael Francis	Borderline Bad: Philo of Alexandria on the Distinction between Voluntary and Involuntary Sin	Etd
und:08612n51m8d	B. W. Benapfl	Investigation of Resistive Losses in Type II Superconductors	Etd
und:08612n51n19	Javier Osorio	Hobbes on Drugs: Understanding Drug Violence in Mexico	Etd
und:08612n51n5p		v2mebias.zip	GenericFile
und:08612n51n8q	pruizdeo	RuizdeOlanoP042016D.pdf	GenericFile
und:08612n51n92		US7954768.pdf	GenericFile
und:08612n51p39	sbotero1	BoteroCabreraS072015D.pdf	GenericFile
und:08612n51p4n		Noyola_0017a.jpg	GenericFile
und:08612n51p50		JUNG/JPEG/2015_Fall_EALJ_10151_20251_Jung_000002.jpg	GenericFile
und:08612n51p81		zby.xml	GenericFile
und:08612n51p9c	Woodward, Robert	Robert Woodward Photograph Collection	FindingAid
und:08612n51q0k		pho.xml	GenericFile
und:08612n51q1x	O'Brien, John A. (John Anthony), 1893-1980.	John A. O'Brien Papers	FindingAid
und:08612n51q28		haw.xml	GenericFile
und:08612n51q3m	Freschi, John J.	John J. Freschi Scrapbook	FindingAid
und:08612n51q4z		byr.xml	GenericFile
und:08612n51q70	Roberto Suro	Beguiling Mysteries and Known Unknowns: the Research Challenges Posed by the Latino Experience	Document
und:08612n51q59	Belloc, Hilaire, 1870-1953.	Hilaire Belloc Diary and Sketchbooks	FindingAid
und:08612n51r2k	Thomas A. Stapleford	Defining a ‘Living Wage’ in America: Transformations in Union Wage Theories, 1870-1930	Article
und:08612n51r5m		asl-20400.tif	GenericFile
und:08612n51s1j	Greene, Dana	Dana Greene Papers	FindingAid
und:08612n52470		Belgium-Brussells-Theatre-Monnie.jpg	GenericFile
und:08612n5248b		image_2993.xml	GenericFile
und:08612n5249p		Egypt-Karnak-temple-Amon-Colonnade.tif	GenericFile
und:08612n52517		Germany-Frankfurt-old-house.jpg	GenericFile
und:08612n5252k		France-Paris-fountain-S-Michael2.jpg	GenericFile
und:08612n5253x		image_2583.xml	GenericFile
und:08612n52548		France-Fontainebleau-castle-int.tif	GenericFile
und:08612n5256z		France-Caen-church-S-Pierre.jpg	GenericFile
und:08612n5258n		France-Grand-Chartreuse-refectory.tif	GenericFile
und:08612n52579		image_2325.xml	GenericFile
und:08612n52606		France-Paris-church-S-Francis-Xavier.jpg	GenericFile
und:08612n5262w		France-Beaucaire-castle.tif	GenericFile
und:08612n5261j		image_2423.xml	GenericFile
und:08612n5264k		Greece-Athens-Lysicrates-Monument.tif	GenericFile
und:08612n52668		Palestine-Bethlehem-church-Nativity-entrance.tif	GenericFile
und:08612n5265x		image_2846.xml	GenericFile
und:08612n5268z		Italy-Rome-forum-Trajan2.tif	GenericFile
und:08612n5267m		image_1154.xml	GenericFile
und:08612n5270h		Italy-Padua-church-S-Justine.jpg	GenericFile
und:08612n5271v		image_1602.xml	GenericFile
und:08612n52726		Italy-Venice-church-S-Mary-dei-Miracoli.tif	GenericFile
und:08612n5274w		Italy-Syracuse-cathedral.jpg	GenericFile
und:08612n5276k		Peru-Puno-cathedral.tif	GenericFile
und:08612n52757		image_1438.xml	GenericFile
und:08612n5280t		Switzerland-Basel-tower-S-John.tif	GenericFile
und:08612n5282h		Spain-Cadiz-church-Carmel.jpg	GenericFile
und:08612n5283v		image_3738.xml	GenericFile
und:08612n5288k	Suzy Conway	Goreymania: An Annotated Bibliography of Suzy Conway's Edward Gorey Book Collection	Document
und:0c483j34t53		Mensan and Sisk 2008	GenericFile
und:0c483j34t84	David Dressing	El Salvador decentralization 1999 Export Version ZD.sav	GenericFile
und:0c483j34t9g			Profile
und:0c483j34v0p	Georgiana Young Kramer	KramerGY022007.pdf	GenericFile
und:0c483j34v2c	Joel William Ottman	OttmanJ042010T.pdf	GenericFile
und:0c483j34v5d	Xiaowen Liu	LiuX042007	GenericFile
und:0c483j34v3q	Robert Jess Lavolette	Thesis (Formatted)	GenericFile
und:0c483j34v42	Florencia Foxley	Models of Motherhood? Alcestis and Medea as Hero Figures	Etd
und:0c483j34v73	Matthew T. McNicholas	Microsoft Word - McNicholas Thesis.doc	GenericFile
und:0c483j34v6r	Jarrett Haley	We Americans	Etd
und:0c483j34v8f	Satyaki Ganguly	High Performance III-Nitride Heterostructure Devices Exploiting Polarization, Isotope Physics and Integrating with Silicon	Etd
und:0c483j34v9s	Jian Lin	New Insights into Lanthanide and Actinide Tellurite Chemistry	Etd
und:0c483j34w00	Anne  Elizabeth Baker	BakerAE072011D.pdf	GenericFile
und:0c483j34w1b	Xiaolong Li	Improving Packet Caching Scalability Through the Concept of an Explicit End of Data Marker	Etd
und:0c483j34w2p	Ryan Russell Hemme	DissertationSupplementalTables.xlsx	GenericFile
und:0c483j34w31	Rendy Kartika	CHAPTER 3	GenericFile
und:0c483j34w4c	Drew Gorman-Lewis	The Adsorption of Chemical Contaminants onto Environmental Surfaces With Special Consideration of the Bacterial Surface	Etd
und:0c483j34w62	Rebecca Anne Morrissey	Method	GenericFile
und:0c483j34w7d	Mary Caitlin Sherman	Nonadiabatic Dynamics and Path Sampling Methods: A New Perspective on the Simulation of Charge Transfer Reactions in the Condensed Phase	Etd
und:0c483j34w5q	YingYuan Zhou	Ferromagnetic Resonance Study of Spin Dynamics in GaMnAs Films	Etd
und:0c483j34w8r	Claire Therese Reising	«C'était une grande victoire. Écrivez ça.»: Le nationalisme français et algérien et la réception des films autour de la guerre d'Algérie	Etd
und:0c483j34x20	Shari Hill Sweet	OsorioJ072013D.pdf	GenericFile
und:0c483j34x1n	Seth Brown	Metrical Oxidation States of 2-Amidophenoxide and Catecholate Ligands: Structural Signatures of Metal-Ligand pi Bonding in Potentially Noninnocent Ligands	Article
und:0c483j34x3b		Digital Collections Librarian	Person
und:0c483j34x82	Levente Borvak	GNUS AND YOU	GenericFile
und:0c483j34x6c		v2mecenefi.zip	GenericFile
und:0c483j34x9d	mbenhamm	BenHammedMW042016T.pdf	GenericFile
und:0c483j34z40	dchildre	ChildressDC112015T.pdf	GenericFile
und:0c483j34z29	Marcelo Aybar Lagos	Mechanisms of Gas Transfer and Biofilm Development in Membrane Aerated Biofilms	Etd
und:0c483j34z5b		Noyola_0018a.jpg	GenericFile
und:0c483j34z6p		JUNG/JPEG/2015_Fall_EALJ_10151_20251_Jung_000003.jpg	GenericFile
und:0c483j34z9q	Dickman, J. T. (Joseph Theodore), 1857-1927.	J. T. Dickman Papers	FindingAid
und:0c483j34z71	Hao Lu	Development of Nanometer Ion Conductor for 2D-Crystal Memory and Universal Tunnel Transistor SPICE Model	Etd
und:0c483j35006		woo.xml	GenericFile
und:0c483j3501j	University of Notre Dame. Photographer.	University Photographer	FindingAid
und:0c483j3502w		obr.xml	GenericFile
und:0c483j35037	Hayes, Gerald W.	Gerald W. Hayes Papers	FindingAid
und:0c483j3504k		fre.xml	GenericFile
und:0c483j3505x	University of Notre Dame. Class of 1926.	Notre Dame: Class of 1926 and pre-1924 Alumni Secretary Records	FindingAid
und:0c483j35068		bel.xml	GenericFile
und:0c483j3513j	Thomas A. Stapleford	On April 17, 2001, roughly forty undergraduates began a sit-in (eventually lasting three weeks) within Harvard’s main administ	GenericFile
und:0c483j3508z		lr_nd_v3n3web.pdf	GenericFile
und:0c483j3516k	Falconer, Ian (American illustrator, 1959-)	Mother's Day	Image
und:0c483j3522h		dgr.xml	GenericFile
und:0c483j3519m	Goodman, Alec	Alec Goodman photograph collection	FindingAid
und:0c483j35d7b		Algeria-Djemila-arch-Caracalla.jpg	GenericFile
und:0c483j35d8p		image_3068.xml	GenericFile
und:0c483j35d91		Belgium-Mons-cathedral-S-Wandru.tif	GenericFile
und:0c483j35f1k		Egypt-Abydos-temple-Seti-2nd-hypostyle2.jpg	GenericFile
und:0c483j35f2x		image_3385.xml	GenericFile
und:0c483j35f38		image_1817.xml	GenericFile
und:0c483j35f4m		France-Versailles-hamlet-Queens-house.tif	GenericFile
und:0c483j35f69		France-Avignon-Palace-of-Popes-General-View.jpg	GenericFile
und:0c483j35f7n		image_2514.xml	GenericFile
und:0c483j35f80		France-Anet-Sepulchral-chapel.tif	GenericFile
und:0c483j35g0j		France-Poitiers-court-house.jpg	GenericFile
und:0c483j35g1w		image_1831.xml	GenericFile
und:0c483j35g27		France-Usse-castle2.tif	GenericFile
und:0c483j35g4x		France-Falaise-church-S-Gervais.jpg	GenericFile
und:0c483j35g6m		India-Gwalior-palace-Man-Sing3.tif	GenericFile
und:0c483j35g89		Italy-Rome-fountain-Barccacia.tif	GenericFile
und:0c483j35h0v		Italy-Florence-palace-Pitti.jpg	GenericFile
und:0c483j35h16		image_1628.xml	GenericFile
und:0c483j35h2j		Italy-Pistoja-church-S_Andre-int.tif	GenericFile
und:0c483j35h47		Italy-Rome-church-Trinity-facade.jpg	GenericFile
und:0c483j35h5k		image_1464.xml	GenericFile
und:0c483j35h6x		Italy-Ferrara-cathedral-int.tif	GenericFile
und:0c483j35h8m		Russia-Zvenigorod-church-S-Savva-int.jpg	GenericFile
und:0c483j35j2v		Spain-Madrid-Escorial2.jpg	GenericFile
und:0c483j35j4j		Turkey-Cybele.tif	GenericFile
und:0c483j35j36		image_3286.xml	GenericFile
und:0c483j35j98	Julie Tanaka	Goreymania_001.pdf	GenericFile
und:0c483j35k3h			GenericFile
und:0g354f1839t	David Dressing	El Salvador National 1999 Export Version ZD.sav	GenericFile
und:0g354f1841c	Jie Su	A Lateral-Drive Method to Address Pull-in Failure in MEMS	Etd
und:0g354f18432	Wenlong Zhang	Acoustics and Hydrodynamics of Fluid-Structure Interaction in a Submerged Elastic Duct	Etd
und:0g354f1845r	Florencia Foxley	Microsoft Word - Formatted MA Thesis.docx	GenericFile
und:0g354f1847f	Jarrett Haley	WE AMERICANS	GenericFile
und:0g354f18463	Scott Thompson Smith	Writing Land in Anglo-Saxon England	Etd
und:0g354f18494	Satyaki Ganguly	GangulyS052014D.pdf	GenericFile
und:0g354f1848s	Stephen Karla	A Meditation on Artistic Intent	Etd
und:0g354f1850b	Jian Lin	Trivalent Lanthanide and Actinide Borates	GenericFile
und:0g354f1851p	Charles Adam Bee	Three Essays on the Causes and Consequences of Government Spending and Regulatory Programs	Etd
und:0g354f18521	Xiaolong Li	xli5thesis.dvi	GenericFile
und:0g354f1854q	Rendy Kartika	1KartikaR092008.pdf	GenericFile
und:0g354f1853c	Ryan Russell Hemme	HemmeRR072011D.pdf	GenericFile
und:0g354f1856d	YingYuan Zhou	Microsoft Word - yyzhou phd dissertation	GenericFile
und:0g354f18552	Drew Gorman-Lewis	Microsoft Word - Dissertation4.doc	GenericFile
