id	creator	title	model
und:0z708w34k6k	Ethan Fridmanski	Online Communities: A Case Study of Religion and Politics	Etd
und:0z708w34k7x	Justus T. Ghormley	Inspired Scribes: The Formation of the Book of Jeremiah and the Vocation of Ancient Jewish Scribal Scholars	Etd
und:0z708w34n04	Nathan Kellams	Search for Lepton Flavor Violating Decays of the Higgs Boson in the Mu Tau Hadronic Channel	Etd
und:12579s17s7p	Ted Alan Bryant	Symbolic Control of Visual Attention: Indirect Cues	Etd
und:12579s17s9c	Andrew Johnson	Computational Studies of Natural and Nonnatural Nucleic Acids: Formation and Repair of Thymine Dimers and Structure/Dynamics of GNA	Etd
und:12579s17s81	Bradley Charles Gregory	"Like an Everlasting Signet Ring": Generosity in the Book of Sirach	Etd
und:12579s17t0k	Jacqueline G Garrison	The Relative Importance of Stress State, Microarchitecture, and Damage Burden in the Failure Behavior of Trabecular Bone	Etd
und:12579s17t28	Christopher Stockdon Seibert	High-Index-Contrast AlGaAs Waveguide Scattering Loss Reduction via Oxidation Smoothing of Sidewall Roughness	Etd
und:12579s17t4z	Michael Anthony May	Experimental Evaluation of Unbonded Post-Tensioned Hybrid Coupled Wall Subassembalges	Etd
und:12579s17t70	Aaron J. W. Dingler	Nanomagnet Logic: From Devices to Architectures	Etd
und:12579s17v3x	Loren K. Higbee	The Poetics of Fragmentation: Shared Modernity in Petrarch, Eliot, and Pound	Etd
und:12579s17w99	Semyon Khokhlov	Marcel Duchamp, Gertrude Stein, and the Modernist Loss of Autonomy	Etd
und:1544bp0134s	Peter J. Baker	The Politics of Taxation and State Building in Ukraine, 882-2004	Etd
und:1544bp0136g	Sundaram Vanka	Signal Superposition Strategies in Wireless Networks: Theory and Experiments	Etd
und:1544bp0137t	Denise Ann Bruesewitz	The Effects of Invasive Zebra Mussels (Dreissena polymorpha) on Nitrogen Cycling in Freshwater Ecosystems of the Midwestern United States	Etd
und:1544bp0139h	Teresa Huffman Traver	"I have not a home:" Catholic Conversion and English Identity	Etd
und:1544bp0140q	Michael Stephen Crocker	Design, Fault Studies, and Performance Analysis for Nanomagnet Logic PLAS and Other Nanomagnet Logic Architectures	Etd
und:1544bp0142d	Todd Alexander Major	Acoustic Vibrations of Single Suspended Gold Nanostructures	Etd
und:1544bp01412	Michael Tate Cochran	Two-Dimensional Viscous Compaction in Compressible Granular Materials	Etd
und:1544bp0143r	Melinda D. Grimsley-Smith	Politics, Professionalization, and Poverty: Lunatic Asylums for the Poor in Ireland, 1817-1920	Etd
und:1544bp0145f	Katia Pansa	Psychoanalytic Studies in the "Tarry Easty" of James Joyce	Etd
und:1831cj84c2c	Ivan Murgu	Studies Of Xanthone Rotaxanes and Squaraine Rotaxane Endoperoxides	Etd
und:1831cj84d8r	Max Deardorff	A Tale of Two Granadas: Tridentine Reform, Rebellion, and the Formulation of Christian Citizenship in Southern Spain and the Andes, 1563-1614	Etd
und:1831cj84f09	Tua Agustinus Tamba	Forecasting Regime Shifts in Nonlinear Dynamical Processes	Etd
und:1c18df67n2q	David Robert Baker	On the Advancement of Quantum Dot Solar Cell Performance through Enhanced Charge Carrier Dynamics	Etd
und:1c18df67n1c	Charles Christopher Camosy	Treatment of Imperiled Newborns: The Social Quality of Life Model in Light of Catholic Social Teaching	Etd
und:1c18df67p52	Sean Patrick Lynch	Search for Standard Model and Neutral MSSM Higgs Bosons Decaying to Pairs of Tau Leptons At 7 TeV	Etd
und:1c18df67r2n	Timur Kupaev	Multi-Scale Simulation Study of the Effect of Fiber Alignment and Bending and Stress–Strain Relation on Fibrin Networks	Etd
und:1g05fb50x1x	Antonios Kontos	Direct Capture in Nuclear Astrophysics: The Cases of <sup>17</sup>O(&rho;, &gamma;)<sup>18</sup>F and <sup>4</sup>He(<sup>3</sup>He, &gamma;)<sup>7</sup>Be	Etd
und:1g05fb50x4z	Olena Korovnichenko	Generalizations of Three-Term Relations in Solvable Models of Mathematical Physics	Etd
und:1g05fb50x6n	Xiuquan Sun	Algorithms for Modeling the Dynamics and Phase Transitions of Lipid Bilayers	Etd
und:1g05fb50x8b	Shaun Horsman Yurcaba	Timeless Architecture:  A New Courthouse and Town Square, Embracing Tradition for the Good of the City	Etd
und:1831cj84b9g	Belinda Sue McSwain	Molecular Investigation of Aerobic Granule Sludge Formation	Etd
und:1831cj84c42	Brian Matthew Babie	An Experimental and Analytical Study of the Stability of Counter-Rotating Vortex Pairs with Applications for Aircraft Wake Turbulence Control	Etd
und:1831cj84c9s	Stephen Reid Case	Making Stars Physical: John Herschel's Stellar Astronomy, 1816-71	Etd
und:1831cj84c6r	Pedro Berges	Rebound, Compliance, and Configuration in the Modeling and Analysis of Discrete Impacts in Legged Locomotion	Etd
und:1831cj84k0j	Xin Liu	Evaluation of Therapeutics in Three Dimensional Cell Culture Systems Using Mass Spectrometry	Etd
und:1c18df67n63	Derek Andrew Webb	Paving the Rights Infrastructure: Civic Education in the Presidencies of Thomas Jefferson, Abraham Lincoln, and Franklin Roosevelt	Etd
und:1c18df67n8s	Yuan Liu	WENO Computations and Pattern Stability	Etd
und:1c18df67n94	Daniele Puccinelli	Arbutus: Reliable and Energy-Efficient Data Collection in Large-Scale Low-Power Wireless Sensor Networks	Etd
und:1c18df67p1p	Leilani Arthurs	Towards a more quantitative understanding of the complex interactions between natural organic matter, heavy metals, and goethite	Etd
und:1c18df67p21	Anne Catherine McGowan	In Search of the Spirit: The Epiclesis in Early Eucharistic Praying and Contemporary Western Liturgical Reforms	Etd
und:1c18df67p3c	Jesse David Davenport	A Numerical Approach to Modeling the Geochemical Evolution of the Lunar Magma Ocean	Etd
und:1c18df67p4q	Michael Yan-Kiat Lau	The Psi Phenomena: A Bayesian Approach to the Ganzfeld Procedure	Etd
und:1c18df67p7r	Jaqunda N. Patton	Hydrogel Based Oxygen Carriers	Etd
und:1c18df67q0n	Christina Marie Arisio	Self-assembled Monolayers on III-V Semiconductor and Silicon Surfaces	Etd
und:1g05fb50z17	Julie Torborg	The Charge Asymmetry in W Bosons Produced in Proton-Antiproton Collisions at Center-of-Mass Energy 1.96 TeV	Etd
und:1g05fb50z79	William Scott Kinman	Textural and Microanalysis of Igneous Rocks: Tools for Understanding Igneous Processes	Etd
und:1j92g73463x	Matthew Philip Prygoski	Development and Analysis of a High Speed Bone Fracture Fixation Technology	Etd
und:1j92g734648	Thidapat Chantem	Real-Time System Design Under Physical and Resource Constraints	Etd
und:1j92g73468n	Jenny L. Vaydich	The Influence of Emotion Regulation on Aggressive Behavior in the Face of Provocation	Etd
und:1j92g734706	Qiang Ling	Stability and performance of control systems with limited feedback information	Etd
und:1j92g734737	Pascal R. Deboeck	Smoothing-Independent Estimation of a Linear Differential Equation Model	Etd
und:1j92g73471j	Andrew Alexander Forbes	Sequential radiation of the parasitoid wasp Diachasma alloeum.	Etd
und:1j92g73474k	Carlos Gervasoni	A Rentier Theory of Subnational Democracy: The Politically Regressive Effects of Fiscal Federalism in Argentina	Etd
und:1j92g73477m	Andrew Nugent Balhoff	Compressed Air Energy Storage for Vehicle Start-Stop and Launch Assist	Etd
und:1j92g734799	Pamela Marguerite Schaal	Fiscal Federalism: The Effects of Divided versus Unified Government on Federal Grant-in-Aid Spending	Etd
und:1j92g73480h	Yue Li	Textured Surfaces for Orthopedic Implants	Etd
und:1n79h417g38	Larry Ricardo Gibson	Rapid Detection of Lipid Biomarkers in Three-Dimensional Hybrid Microfluidicanofluidic Devices	Etd
und:1n79h417g69	Jeffrey William Pavlik	Investigations of Diatomic Heme Ligands. Part I: Nuclear Resonance Vibrational Spectroscopy of Nitrosyl Iron Porphyrinates. Part II: The Characterization of Hydrosulfido Heme Models	Etd
und:1n79h417g80	Marcia Eileen Braun	Do Individual Differences in Global Social Support Affect How Daily Support Buffers Daily Stress?	Etd
und:1n79h417h3k	Chelsea M. Weaver	Violence Breeds Violence: Childhood Exposure and Adolescent Conduct Problems	Etd
und:1n79h417h6m	S. M. Niaz Arifin	A Spatial Agent-Based Model and a Multi-Dimensional Data Warehouse for Malaria Research	Etd
und:1n79h417h9n	Shannon Valenzuela	Mnemosyne's Son: Chaucer, Translation, and the Creation of English Textual Memory	Etd
und:1r66j100r6v	Alexander Grant White	Selective Recognition of Bacteria Utilizing Zinc(II)-Dipicolylamine Conjugated Far-Red Fluorescent Probes	Etd
und:1r66j100r5h	Michael William Handlogten	Design of a Heterobivalent Inhibitor of Allergy and More Physiologically Relevant Allergy Models	Etd
und:1r66j100s03	Steven Barbachyn	Analytical Evaluation of Diagonally-Reinforced Concrete Coupling Beams Under Lateral Loads	Etd
und:1r66j100s2s	Arun Francis Rodrigues	Programming Future Architectures: Dusty Decks, Memory Walls, and the Speed of Light	Etd
und:1r66j100s34	Irfan A Khawaja	Foundationalism and the Foundations of Ethics	Etd
und:1r66j100s5t	Yury Pogorelov	A Search for the Associated Higgs Production in the Tau Channel	Etd
und:1r66j100s65	Zhi Zhai	Technology-Facilitated Crowdsourcing Systems	Etd
und:1r66j100t1r	Damon McGraw	Apocalyptic Thought in John Henry Newman: Discerning Antichrist in Modernity	Etd
und:1r66j100s8v	Angel Eduardo Alvarez	Political Funding Regulations in Latin America: Uncertainty, Equity and Transparency	Etd
und:1r66j100s96	Patrick Howard Donohue	Origin and Evolution of High-Titanium Mare Basalts	Etd
und:1r66j100t23	Leonard James DeLorenzo	Those Who Hear Will Live: A Theological Explication of the Communion of Saints	Etd
und:1r66j100t4s	Timothy Ferdinands	Groupoids with root systems in real vector spaces	Etd
und:1r66j100v5f	Yuriy Hulovatyy	Exploring Structure and Dynamics of Complex Networks: Novel Methods and Interdisciplinary Applications	Etd
und:1r66j100v6s	Margaret B. Owensby	Quantifying the Uncertainty of Vegetation-Induced Wave Dissipation	Etd
und:1r66j100z3p	Ruiwen Zhen	Aided Blind Deblurring Image Degraded by Motion Blur	Etd
und:1v53jw8415w	Zijun Ke	An Empirical Comparison of Three Methods to Establish Directional Relationships Using Multivariate Time Series: Effective Connectivity Analysis with Functional Magnetic Resonance Imaging Studies	Etd
und:1v53jw8418x	Francisco A Noria	Physiological Implications for Murine Deficiencies of Key Proteins of the Coagulation Cascade	Etd
und:1v53jw8420g	Michael Stephen Crocker	Study of Spacings and Defects in Molecular QCA and Design of a QCA-based Programmable Logic Array	Etd
und:1v53jw84225	Bryan M Morales	Company Towns Revisited: Historic Typologies as a Model for Stability and Growth in Developing Countries	Etd
und:1v53jw84256	Xiangdong Qin	Reaction of Hyperthermal Oxygen Ions with Self-Assembled Monolayers and Silicon Oxide Thin Films	Etd
und:1v53jw84345	Matthew P. McDonald	Absorption and emission spectroscopy of individual semiconductor nanostructures	Etd
und:1v53jw84314	Vesela Yordanova Ugrinova	Synthesis and Chemistry of Titanium(IV) Complexes with Triamido-Amine, Triaryloxo-Amine, Beta-Diketonate/Phenoxide and Bis(Beta-Diketonate) Ligands	Etd
und:1v53jw8435h	Everaldo Aguiar	Identifying Students at Risk and Beyond: A Machine Learning Approach	Etd
und:1v53jw8442s	Andi Noakes	Population Dynamics of <em>Fraxinus pennsylvanica</em>	Etd
und:1v53jw84763	Amy E. Jonason	Growing the Good Food Revolution: Strategies of Sustainable Community in Two Urban Alternative Food Projects	Etd
und:1z40ks6797n	Andrew James Steward	The Chondrogenic Response of Mesenchymal Stem Cells to Mechanical Loading	Etd
und:1z40ks67980	Chadwick C. Curtis	Essays on the Macroeconomics of China	Etd
und:1z40ks67b27	Michaela Bucchianeri	Can Working Memory Interference Explain Need for Cognitive Closure Effects in the Perception of Discrimination?	Etd
und:1z40ks67b4x	Po Wu	Symmetry and Dissipativity in the Design of Large-Scale Complex Control Systems	Etd
und:1z40ks67b58	Nathan L. King	The Epistemology of Disagreement: Puzzles, Solutions, and Applications	Etd
und:1z40ks67b7z	Diane M Lickenbrock	Examining Infant Attachment Security with Mothers and Fathers: An Ecological Systems Perspective	Etd
und:1z40ks67c0v	Laura Kinnaman	Structural, dynamic, and spectroscopic properties of self-consistent charge density functional tight binding water models	Etd
und:1z40ks67c16	Quinn Nathaniel Lathrop	The Impact of Within-Template Systematic Variation on Response Models	Etd
und:1z40ks67c3w	Julia M Harris	Dodge & Burn	Etd
und:1z40ks67c78	Patrick X. Gardner	Modern Pentecost: Henri de Lubac on Atheism and the Spiritual Posterity of Joachim of Fiore	Etd
und:1z40ks67c8m	Stephen M. Mattingly	The Impact of Stress and Cortisol on the Emotional Memory Trade-Off Effect	Etd
und:2227mp50k7h	Bradley Rettler	Grounding Truthmaking	Etd
und:2227mp50m0d	Walter Blaine Early, IV	Why Bother Hanging On to Old Shit	Etd
und:2227mp50m23	Andrew Koldewey Henrick	Shock-Fitted Numerical Solutions of One- and Two-Dimensional Detonation	Etd
und:2227mp50m4s	Xiaowei Jin	LDPC codes on fading channels: receiver design, performance analysis and code design	Etd
und:2227mp50m7t	Chrystyna D. Kouros	Children's Responses to Everyday Marital Conflict: The Influence of Marital Aggression	Etd
und:2227mp50n0q	Shaddy Abado	An Approach to Spatial and Temporal Frequencies for Aero-Optics Correction	Etd
und:2227mp50n3r	Jonathan Davis-Secord	Theodcwidas: Compound Words, Language, and Social Context in Early English Literature	Etd
und:2227mp50p4d	Katy Cousino	THE GIRDLES: An Autobiology	Etd
und:2227mp50p5r	Lesley Grace Sullivan	Textual Polyphony in Mozart's <em>Don Giovanni</em>	Etd
und:2514nk33v98	Jason Robert Tomko	Fluid-Loaded Vibration of Thin Structures Due to Turbulent Excitation	Etd
und:2514nk33w0g	Matthew Aaron Meixner	Supernovae Simulations and the Equation of State	Etd
und:2514nk33w25	Shyamkumar Thoziyoor	Pim Lite: Vlsi Prototype of a Multithreaded Processor-In-Memory Chip	Etd
und:2514nk33w4v	Shawn Thomas O'Neil	Non-Model Transcriptomics: Applications, Assessments, and Algorithms	Etd
und:2514nk33w7w	Gifford Andrew Grobien	"Be Transformed by the Renewing of Your Minds": Christian Worship as the Root of Righteousness and Ethical Formation	Etd
und:2514nk33w9k	Karen P. Hollingsworth	Increased Use of Available Image Data Decreases Errors in Iris Biometrics	Etd
und:2514nk33x0s	Alexis Nicole Thompson	Event Boundaries and Memory	Etd
und:2514nk33x2g	Lee Allen Mayo	Simulation without Replication: How Some Digital Computer Simulations Serve as Scientific Experiments	Etd
und:2514nk33x3t	Wei Zhang	Data Mining for Biological Data Learning: Algorithm and Application	Etd
und:2514nk33x6v	Paul C. Avey	Tempting Fate: Interests, Escalation, and Conflict in Nuclear Primacy	Etd
und:2514nk33x5h	Justin Farrell	The Young and the Restless? The Liberalization of Young Evangelicals	Etd
und:2514nk33x76	Soul Park	Deciding on Defeat: The Strategic Approach to War Termination	Etd
und:2514nk33z03	Rachael A. Purta	Longitudinal Audio Data Collection and Emotional Analysis in the SCALE System Framework	Etd
und:2514nk3400p	Nathan Sawatzky	Building Cities, Turning Souls: Necessity in the “City in Speech” of Plato’s <i>Republic</i>	Etd
und:2801pg1749m	Jamie Lee Serrano	Adult Alcohol Use Problems: Types of Childhood Maltreatment as Risk Factors, and the Mediating Effect of Age of Initial Alcohol Use	Etd
und:2801pg17546	Walter William Whitehouse	The Musical Prelude to Vatican II: Plainchant, Participation, and Pius X	Etd
und:2801pg1759x	Daniel Matthew Custance Lawson	The Effect of Wage Discrimination on Privileged Groups	Etd
und:2801pg1762t	Ashley Kate Baldridge	Invasive rusty crayfish (Orconectes rusticus): community impacts and potential for recovery	Etd
