id	creator	title	model
und:1544bp01s6p	Creator of the Ruhleben Scrapbook	Ruhleben Camp Magazine Scrapbook	FindingAid
und:1831cj84b84	Guiney, Louise Imogen (1861-1920)	Louise Imogen Guiney papers	FindingAid
und:1831cj84g9q	Archdiocese of Denver. Archives.	World Youth Day Collection	FindingAid
und:1831cj84k1w	Searle, Mark, 1941-1992	Mark Searle Papers	FindingAid
und:1c18df68b6k	Steve Boda	Steve Boda Collection	FindingAid
und:1g05fb5121f	Young Christian Students	Young Christian Students Records	FindingAid
und:1g05fb51234	O'Connell, Edmund J., d. 1924	Edmund J. O'Connell Papers	FindingAid
und:1g05fb5125t	Fitzgerald, Mark J.	Mark J. Fitzgerald Papers	FindingAid
und:1g05fb5127h	Boys and Girls Haven	Boys and Girls Haven Records	FindingAid
und:1g05fb5143r	NoVa Community	NoVa Community Records	FindingAid
und:1j92g734b1g	Badin, Stephen T., (Stephen Theodore), 1768-1853.	Stephen T. Badin Papers	FindingAid
und:1j92g734b35	Stepsis, Ursula.	Ursula Stepsis Papers	FindingAid
und:1j92g734b5v	Clark, Francis P. (Francis Patrick), 1936-1979.	Historic Editions Collection	FindingAid
und:1j92g734b7j	University of Notre Dame. College of Arts and Letters. Office of Undergraduate Studies.	Notre Dame: College of Arts and Letters: Office of Undergraduate Studies Records	FindingAid
und:1j92g734w8v	Hager, Carl	Carl Hager Papers	FindingAid
und:1n79h417m3h	Young Christian Workers	Young Christian Workers Records	FindingAid
und:1n79h417m56	University of Notre Dame. Libraries. Director.	Notre Dame Director of Libraries	FindingAid
und:1n79h417m7w	Fulcher, George Avis	George Fulcher Papers	FindingAid
und:1n79h417m9k	Brothers of the Good Shepherd	Brothers of the Good Shepherd Records	FindingAid
und:1n79h417p5t	Nicgorski, Walter	Walter J. Nicgorski Papers	FindingAid
und:1r66j100w32		Sorin Birthplace Commemoration Collection	FindingAid
und:1r66j100w5r	Pise, Charles Constantine, 1801-1866	Charles Constantine Pise Manuscript	FindingAid
und:1r66j100w7f	Poor Handmaids of Jesus Christ.	Poor Handmaids of Jesus Christ Records	FindingAid
und:1r66j100w94	Frank J. Cavaioli	Frank J. Cavaioli Papers	FindingAid
und:1r66j101g0k	Koperski, Veronica	Sister Veronica Koperski Papers	FindingAid
und:1v53jw84554	Youngerman, Frank A.	Frank A. Youngerman Photograph Collection	FindingAid
und:1v53jw8457t	Odin, John Mary, 1801-1870	John Mary Odin Papers	FindingAid
und:1v53jw8459h	Funk, Raymond J.	Raymond M. Funk, Jr., Papers	FindingAid
und:1v53jw84612	Lange, Bernard H. B.	Bernard H. B. Lange Collection	FindingAid
und:1z40ks67f56	Benavides, Alonso de, fl. 1630.	Alonso de Benavides Memorial	FindingAid
und:1z40ks67f4v	Julie Tanaka	Havas French Press Telegram Collection	FindingAid
und:1z40ks67f7w	Pius XII, Pope, 1876-1958.	Pope Pius XII Collection	FindingAid
und:1z40ks67f9k	Houselander, Caryll.	Caryll Houselander Papers	FindingAid
und:1z40ks67g14	College of Business Administration	Notre Dame: College of Business Administration	FindingAid
und:1z40ks6812q	Marti, Fritz, 1894-	Fritz Marti Papers	FindingAid
und:2227mp50q7r	Acton, Charles Januarius, 1803-1847.	Charles Januarius Acton Letters	FindingAid
und:2227mp50r10	Frank W. Kelly	Frank W. Kelly Papers	FindingAid
und:2227mp50q9f	Oesterle, John and Jean.	John and Jean Oesterle Papers	FindingAid
und:2227mp50r3p	Bahan, Leonard.	Leonard "Pete" Bahan Papers	FindingAid
und:2227mp50r5c	Barrier, William L. (William Lafayette), 1834-1864	Barrier Family Letters	FindingAid
und:2514nk34073	Verot, Augustine, 1805-1876.	Augustine Verot Manuscript	FindingAid
und:2514nk3409s	University of Notre Dame. Office of the President.	President 2005- : Jenkins Records	FindingAid
und:2514nk3411b	Hasley, Lucile, 1909-	Lucile Hasley Papers	FindingAid
und:2514nk34131	University of Notre Dame Archives.	Catholic Comic Book Collection	FindingAid
und:2514nk34k4b	Order of Saint Benedict	Benedictine Periodicals	FindingAid
und:2801pg17875	Desmond, Humphrey Joseph, 1858-1932.	Humphrey Joseph Desmond Letters received	FindingAid
und:2801pg1791d	O'Gara, James	James O'Gara Papers	FindingAid
und:2801pg1795s	Binsfeld, Edmund L. (Edmund Louis), 1905-1985.	Edmund L. Binsfeld Papers	FindingAid
und:2b88qc00k5k	University of Notre Dame. Mendoza College of Business. Marketing and Communications Office.	Notre Dame: Mendoza College of Business Marketing and Communications Office Records	FindingAid
und:2f75r783v1g	Blayney, Lindsey, 1874-1971	Lindsey Blayney Papers	FindingAid
und:2f75r783v35	O'Hara, John F. (John Francis), 1888-1960.	John Francis O'Hara Papers	FindingAid
und:2f75r783v5v	Xaverian Brothers. English Province.	Xaverian Brothers. English Province Records	FindingAid
und:2f75r783v7j	Bitting, William Charles, 1887-1954	William Charles Bitting Papers	FindingAid
und:2801pg1789v	Bonté, Kenneth	Baestlé - Bonté - DeSeille Family Papers	FindingAid
und:2801pg17933	Ackermann Family	Francis Xavier Ackerman Family Papers	FindingAid
und:2b88qc00j9n	French, James J., 1859-1941.	James J. French Letters received	FindingAid
und:2b88qc00k3w	Harnett, Joseph, 1911-1987	Joseph Harnett Papers	FindingAid
und:2b88qc00k16	Murnion, Philip J.	Philip J. Murnion Papers	FindingAid
und:2b88qc01465	Ames, Charlotte	Charlotte Ames Collection	FindingAid
und:2f75r783t9x	Gleeson, James, 1840-1907.	James Gleeson Letters received	FindingAid
und:2j62s46723w	Anderson, William H. (William Henry), 1836-1902	William H. Anderson Letters	FindingAid
und:2j62s46741t	James, Brother (James Talarovic)	Brother James Papers	FindingAid
und:2j62s46743h	Scharper, Philip J., 1919-1985.	Philip J. Scharper Papers	FindingAid
und:2j62s467456	Hochwalt, Frederick G. (Frederick George), 1909- 1966.	Frederick G. Hochwalt Papers	FindingAid
und:2j62s46747w	Carberry, James J.	James J. Carberry Papers	FindingAid
und:2j62s467p86	Richter, Henry Joseph	Diocese of Grand Rapids Letters	FindingAid
und:2j62s467q13	Wiseman, H. H., ca. 1834-1865	H. H. Wiseman Diary	FindingAid
und:2n49t150d3b	Carey, Lewis J. (Lewis James)	Lewis J. Carey Transcripts of historic letters	FindingAid
und:2n49t150d1n	Gruber, Lewis.	Lewis Gruber Diary 1861-1862.	FindingAid
und:2n49t150d51	University of Notre Dame. Office of Information Technology.	Office of Information Technology Records	FindingAid
und:2n49t150d7q	Xaverian Brothers. Northeastern Province.	Xaverian Brothers. Northeastern Province Records	FindingAid
und:2n49t150d9d	Spalding, Benedict Joseph, 1850-1887	Benedict Joseph Spalding Papers	FindingAid
und:2n49t150f1z	Erika Hosselkus	"The Kodak Book" Cuban photo album	FindingAid
und:2r36tx33p37	Neyron, Louis J. (Louis Joseph), 1791-1888.	Louis J. Neyron Collection	FindingAid
und:2r36tx33p5x	Kenney, Philip J.	Philip J. Kenney Papers	FindingAid
und:2r36tx33p7m	Holy Family Mission (Montana)	Holy Family Mission (Montana) Records	FindingAid
und:2r36tx33p99	Gregorian Institute of America	Catholic Choirmasters Correspondence Course	FindingAid
und:2r36tx3480r	Brondel, John Baptist	Diocese of Helena Letter	FindingAid
und:2v23vt16z39	Guiney, Louise Imogen, 1861-1920.	Louise Imogen Guiney Letters	FindingAid
und:2v23vt16z50	Donahoe, Michael, fl. 1851.	Michael Donahoe Manuscript	FindingAid
und:2v23vt16z7p	Sisters of Saint Francis (Oldenburg, Ind.)	Franciscan Sisters of Oldenburg Records	FindingAid
und:2v23vt16z9c	First Year of Studies	First Year of Studies	FindingAid
und:2v23vt17016	Notre Dame Men's Basketball Office	Notre Dame: Men's Basketball Office Records	FindingAid
und:2v23vt1703w	Erika Hosselkus	1888 Mexico photo album	FindingAid
und:2z10wq0077h	Lemonnier, Auguste, 1839-1874	Auguste Lemonnier Papers	FindingAid
und:2z10wq0075t	Potawatomi Nation.	Potawatomi Nation Collection	FindingAid
und:2z10wq00796	Homan, Helen Walker, 1893-1961.	Helen Walker Homan Papers	FindingAid
und:2z10wq0081r	Center for Continuing Education	Notre Dame: Center of Continuing Education	FindingAid
und:2z10wq00t4r	University of Notre Dame. Haiti Program.	Notre Dame: Haiti Program Records	FindingAid
und:2z10wq00t22	Libassi, F. Peter, (Frank Peter), 1930-	F. Peter Libassi Papers	FindingAid
und:3197xk83h5c	Horan, Hubert.	Hubert Horan Papers	FindingAid
und:3197xk83h72	Catholic News	Catholic News Records	FindingAid
und:3197xk83j19	Fitzgerald, John J. (John James).	John J. Fitzgerald Notebooks	FindingAid
und:3197xk83j30	University of Notre Dame. Archives.	Book Collection	FindingAid
und:3197xk83j5p	Erika Hosselkus	Rosario Gasworks photo album	FindingAid
und:3197xk83h9r	Basilica of Our Lady of Sorrows (Chicago, Ill.)	Our Lady of Sorrows Liturgical Music Collection	FindingAid
und:3484zg66n7w	Jackson, Archibald A., 1835-1864	Jackson Family Correspondence	FindingAid
und:3484zg66r3f	Julie Tanaka	Le Rossignol Correspondence	FindingAid
und:3484zg66t1c	Hope, Arthur J., 1896-1971	Arthur J. Hope Papers	FindingAid
und:3484zg66t32	University of Notre Dame. Chapel Choir.	Chapel Choir Papers	FindingAid
und:3484zg66s74	Petit, Benjamin Marie, 1811-1839.	Benjamin Marie Petit Collection	FindingAid
und:3484zg66s9t	Program of Liberal Studies	Program of Liberal Studies	FindingAid
und:3484zg67c4n	Guth, Eugene	Eugene Guth Collection	FindingAid
und:3484zg67c6b	University of Notre Dame. Institute For Studies in the Liberal Arts.	Institute For Studies in the Liberal Arts Records	FindingAid
und:37720c5029s	Connerton, James W., 1897-	James W. Connerton Papers	FindingAid
und:37720c50331	Gallagher, Hugh S., 1873-1949.	Hugh S. Gallagher Papers	FindingAid
und:37720c5031b	Joseph H. Burke	Officer in Charge of Military Affairs	FindingAid
und:37720c50273	Gurian, Waldemar, 1902-1954.	Waldemar Gurian Letters received from Jacques Maritain	FindingAid
und:37720c5035q	Phelps, Richard.	Notre Dame: Basketball Coach 1971-1991: Richard "Digger" Phelps Records	FindingAid
und:3b59183369w	Moulton, Louise Chandler, 1835-1908	Louise Chandler Moulton letters	FindingAid
und:3b59183395f	Julie Tanaka	Dr. George Marshall Oakden Collection	FindingAid
und:3b591833c1p	Paulist Fathers.	Paulist Fathers Chronicles	FindingAid
und:3b591833b94	Roedig, Charles F.	Charles F. Roedig Papers	FindingAid
und:3b591833c83	Masterson, John W. (John William), ca. 1844-1880	Masterson Family Papers	FindingAid
und:3b591833c3c		Rev. Ignatius Horstmann Collection	FindingAid
und:3b591833c52	Chicago Conference of Laymen.	Chicago Conference of Laymen Records	FindingAid
und:3b591833x6c	Koperski, Veronica	Sister Veronica Koperski Papers	FindingAid
und:3f462516n3f	O'Meara, Joseph, 1898-	Joseph O'Meara Papers	FindingAid
und:3f462516n1r	Corcoran, Joseph N., d. 1985.	Joseph N. Corcoran Papers	FindingAid
und:3f462516m96	Bertrand Family	Bertrand Family Genealogical material	FindingAid
und:3f462516q2q	Loome, Thomas M. (Thomas Michael), 1935-	Loome Catholic Modernism Collection	FindingAid
und:3f462516n7t	University of Notre Dame. Women's Basketball Office.	Notre Dame: Women's Basketball Office Records	FindingAid
und:3f462516n54	German-American Publishing Company.	German-American Publishing Company Records	FindingAid
und:3j333199x11	LaFortune, Joseph A., 1894-1975.	Joseph A. LaFortune Genealogy	FindingAid
und:3j333199x5d	University of Notre Dame. Howard Hall.	Howard Hall Records	FindingAid
und:3j333199x73	Consultation on Common Texts.	Consultation on Common Texts Records	FindingAid
und:3j333199x3q	University President 1987-2005: Rev. Edward "Monk" Malloy	President 1987-2005: Malloy	FindingAid
und:3j333200g8z	Ladies of Notre Dame and Saint Mary's College	Ladies of Notre Dame and Saint Mary's College Records	FindingAid
und:3n203x8363c	Signer, Michael Alan	Rabbi Michael Signer Papers	FindingAid
und:3n203x8361p	Derrick, S. L. (Silas L.)	S.L. Derrick Diary	FindingAid
und:3n203x8369f	Blatnica, Dorothy Ann, 1946-	Dorothy Ann Blatnica Papers	FindingAid
und:3n203x83652	O'Meara, Thomas F., 1935-	Thomas F. O'Meara Papers	FindingAid
und:3n203x8367r	Grand Army of the Republic. Notre Dame Post 569 (Notre Dame, Ind.)	Grand Army of the Republic. Notre Dame Post 569 (Notre Dame, Ind.) Records	FindingAid
und:3r074t66b3g	Level, Jack (John Ambrose), b. 1889	Jack Level Presidents Collection	FindingAid
und:3r074t66g3q	Wile, Frederic William, 1873-1941.	Frederic William Wile Papers	FindingAid
und:3r074t66g9s	Catholic Central Verein of America.	Catholic Central Verein of America Records	FindingAid
und:3r074t66g73	Hoynes, William, 1846-1933.	William Hoynes Papers	FindingAid
und:3r074t66g5d	Mulpeters, Patricia Marie	Patricia Marie Mulpeters Papers	FindingAid
und:3r074t67207	McAloon, Vincent Gerard	Vincent G. McAloon Papers	FindingAid
und:3t945q49r5f	Ringel, Robert	Robert Ringel Collection	FindingAid
und:3t945q49r74	Onahan, William James, 1836-1919.	William James Onahan Papers	FindingAid
und:3t945q49r3r	Stace, Arthur J. (Arthur Joseph), 1838-1890.	Arthur J. Stace Papers	FindingAid
und:3t945q49s1c	Baldoni, Ideal	Ideal Baldoni Papers	FindingAid
und:3t945q49r9t	Gassensmith, Frederick,, 1886-1963.	Frederick Gassensmith Papers	FindingAid
und:3x816m33216	Center on Conscience and War.	Center on Conscience and War Records	FindingAid
und:3x816m3319n	Catholic Human Relations Council of Union County, NJ.	Catholic Human Relations Council Records	FindingAid
und:3x816m3317z	Polish National Catholic Church of America	Polish National Catholic Church Collection	FindingAid
und:3x816m33158	Newman, John Henry, 1801-1890.	John Henry Newman Letters	FindingAid
und:41687h1695n	Hellrung, Robert T.	Robert T. Hellrung Notre Dame Ring file	FindingAid
und:41687h1697b	Rank, Hugh.	Hugh Rank Papers	FindingAid
und:41687h16991	Catholic Order of Foresters. Our Lady of Rosary Court no. 1034.	Catholic Order of Foresters. Our Lady of Rosary Court no. 1034 Records	FindingAid
und:41687h16b1k	Cardenas, Gilbert	Gilbert Cardenas Papers	FindingAid
und:41687h16b38	Bolger, Henry J., 1900-1964.	Henry J. Bolger Papers	FindingAid
und:44558c99k99	University of Notre Dame. Nanovic Institute for European Studies	Nanovic Institute for European Studies. Records	FindingAid
und:44558c99k7m		Nealis Family Papers	FindingAid
und:44558c99m3j	University of Notre Dame. Notre Dame Center for Ethics and Culture.	Notre Dame: Center for Ethics and Culture Records	FindingAid
und:44558c99m1v	Harkins, Matthew, 1845-1921.	Matthew Harkins Diary	FindingAid
und:47429882w1d	Constable, Olivia Remie.	Olivia Remie Constable Papers	FindingAid
und:47429882v75	McDonald, Ann Catherine.	Ann Catherine McDonald Scrapbook	FindingAid
und:47429882v9v		Army ROTC Records	FindingAid
und:47429882w5s	Blanchet, Francis Norbert, 1795-1883.	Francis Norbert Blanchet Papers	FindingAid
und:47429882w33	Glee Club	Glee Club	FindingAid
und:4b29b56653q	Hurth, P. J. (Peter Joseph), 1857-1935	Peter Joseph Hurth Papers	FindingAid
und:4b29b56649g	Reilly, Peter C.	Peter C. Reilly Collection	FindingAid
und:4b29b56655d	World's Columbian Exposition (1893 : Chicago). Catholic Educational Exhibit.	World's Columbian Exposition (1893 : Chicago). Catholic Educational Exhibit. Records	FindingAid
und:4b29b566511	Program in Non-Violence	Program in Non-Violence	FindingAid
und:4f16c249d9j	Meagher, Thomas Francis, 1823-1867.	Thomas Francis Meagher Memorabilia	FindingAid
und:4f16c249f13	O'Brien, Robert F.	Robert F. O'Brien Collection	FindingAid
und:4f16c249f3s	University of Notre Dame	Oral Histories Collection	FindingAid
und:4f16c249f75	Blanqui, Louis Auguste, 1805-1881	Louis Auguste Blanqui Papers	FindingAid
und:4f16c249f5g	Golden Dome Productions	Golden Dome Productions	FindingAid
und:4j03cz32q5v	Arthur Harvey, CSC	Arthur Harvey Papers	FindingAid
und:4j03cz32q35	O’Hara, John Francis, 1888-1960	President 1934-1940: John F. O'Hara	FindingAid
und:4j03cz32q1g	Morrissey, Raymond, 1909-	Raymond Morrissey Correspondence	FindingAid
und:4j03cz32q7j	Notre Dame University	Notre Dame: Cedar Grove and Other Cemeteries	FindingAid
und:4m90dv15t8c	Tack, Augustus Vincent, 1870-1949	Augustus Vincent Tack Papers	FindingAid
und:4m90dv1601s	O'Connor, Henry, 1820-1900.	Henry O'Connor Manuscript	FindingAid
und:4m90dv1607v	University of Notre Dame. Archives.	General Collection	FindingAid
und:4m90dv1609j	University of Notre Dame. Board of Lay Trustees.	Notre Dame: Board of Lay Trustees Records	FindingAid
und:4m90dv1603g	Rogge, Louis, 1930-, collector.	Louis Rogge Collection	FindingAid
und:4m90dv16055	Corson, Dorothy V.	Dorothy Corson Papers	FindingAid
und:4q77fq99831	United States. Bureau of Indian Affairs. Michigan Superintendency.	United States. Bureau of Indian Affairs. Michigan Superintendency. Records	FindingAid
und:4q77fq99920	Erika Hosselkus	Cristero Rebellion Martyrs postcard collection	FindingAid
und:4q77fq9987d	Schumacher, Heinrich, 1883-1949.	Heinrich Schumacher Papers	FindingAid
und:4q77fq9985q	Poirier, John A. (John Anthony), 1932-	John A. Poirier Papers	FindingAid
und:4q77fq99893	College of Engineering	College of Engineering	FindingAid
und:4t64gm82d09	Bakhchanian, Vagrich (1938-2009)	Vagrich and Irene Bakhchanyan Collections	FindingAid
und:4t64gm82j58	Clark, Francis P. (Francis Patrick), 1936-1979.	Religious Orders of Men Collection	FindingAid
und:4t64gm82j7z	Sisters of Saitn Clare, Saginaw, Michigan	Sisters of Saint Clare, Saginaw Records	FindingAid
und:4t64gm82j3k	United States. Army. Ohio Infantry Regiment, 10th (1861-1865).	United States. Army. Ohio Infantry Regiment, 10th (1861-1865) General and Regimental Order Book	FindingAid
und:4t64gm82k16		Notre Dame: Bishops' Memorial Hall	FindingAid
und:4t64gm82j9n	Giddings, Joshua, 1795-1864	Joshua Giddings Correspondence	FindingAid
und:4x51hh65t5b	Wooten, Dudley G. (Dudley Goodall), 1860-1929.	Dudley G. Wooten Correspondence	FindingAid
und:4x51hh65t71	Moore, Nina Polcyn.	Nina Polcyn Moore Papers	FindingAid
und:4x51hh65t9q	Haseltine, Joseph	Joseph Haseltine Papers	FindingAid
und:4x51hh65v18		World's Columbian Exposition Catholic Educational Exhibit	FindingAid
und:4x51hh65w80	Kelly, John, d. 1866	John Kelly Temperance Letter	FindingAid
und:5138jd4937p	Rossini, Frederick D. (Frederick Dominic) 1899-	Frederick D. Rossini Papers	FindingAid
und:5138jd4941x	Groundwork for a Just World	Groundwork for a Just World Records	FindingAid
und:5138jd4939c	Gorski, J. William	J. William Gorski Collection	FindingAid
und:5138jd49350	Roles, Joseph P., 1832-1889.	Joseph P. Roles Letters received	FindingAid
und:5138jd4943m	University Bands	Notre Dame: University Bands	FindingAid
und:5425k932d1g	Hassenger, Robert.	Robert Hassenger Manuscripts	FindingAid
und:5425k932c9x	University of Notre Dame. Archives.	Portraits Collection	FindingAid
und:5425k932c77	Foley, Philip	Philip Foley Papers	FindingAid
und:5425k932d35	Christian Family Movement	Christian Family Movement Records	FindingAid
und:5712m615n90	Clark, Francis P. (Francis Patrick), 1936-1979.	Religious Orders of Women Collection	FindingAid
und:5712m615n79	Jacques, Emil, 1874-1937.	Emil Jacques Papers	FindingAid
und:5712m615p5x	Bornemann, George, 1838-1924.	George Bornemann Papers	FindingAid
und:5712m615p1j	Zahm, John Augustine, 1851-1921.	John Augustine Zahm Papers	FindingAid
und:5712m615p37	Chesterton, G. K. (Gilbert Keith), 1874-1936.	G.K. Chesterton Autobiography [1936].	FindingAid
und:5999n298z12	University of Notre Dame. Archives.	Indians of North America printed material	FindingAid
und:5999n298z3r	History Teachers' Club.	History Teachers' Club Records	FindingAid
und:5999n298x9h	Hurley, Helen Angela.	Helen Angela Hurley Papers	FindingAid
und:5999n298z8g	Erika Hosselkus	Cristero Rebellion Martyrs photo album	FindingAid
und:5999n298z5f	Center for Social Concerns	Notre Dame: Center for Social Concerns	FindingAid
und:5d86nz82695	Johnson, William T. (William Tell), 1848-1930.	William T. Johnson Family papers	FindingAid
und:5d86nz8271q	McBrien, Richard P.	Richard P. McBrien Papers	FindingAid
und:5d86nz8277s	Benoit, Peter L.	Peter L. Benoit Diary	FindingAid
und:5d86nz82753	Herald des Glaubens	Herald des Glaubens Account Books	FindingAid
und:5d86nz8273d	Speltz, Kara Ann	Kara Ann Speltz Papers	FindingAid
und:5h73pv65h1s	Rockne, Knute, 1888-1931.	Knute Rockne Papers	FindingAid
und:5h73pv65h55	Rivera, Mario Antonio.	Mario Antonio Rivera Papers	FindingAid
und:5h73pv65h7v	Weiher, Charles Frederick	Charles Frederick Weiher Papers	FindingAid
und:5h73pv65h3g	Powell, Clarence	Clarence Powell Scrapbook	FindingAid
und:5m60qr48s3j	Review of Politics (Organization)	Review of Politics (Organization) Records	FindingAid
und:5m60qr48s57	Kehoe, Lawrence, 1832-1890.	Lawrence Kehoe Papers	FindingAid
und:5m60qr48s1v	Bowman, N. R.	N. R. Bowman Notebook	FindingAid
und:5m60qr48s9m	Brent, Daniel, 1774-1841.	Daniel Brent Letter book	FindingAid
und:5m60qr48s7x	University of Notre Dame. Core Council for Gay, Lesbian, Bisexual, and Questioning Students.	Core Council for Gay, Lesbian, Bisexual, and Questioning Students Records	FindingAid
und:5q47rn3221z	Julie Tanaka	S.L. Kelsall Letter	FindingAid
und:5q47rn3225b	Probst, Rudolph Otto, 1889-1986.	Rudolph Otto Probst Papers	FindingAid
